,max GSR,min GSR,mean GSR,number of peaks,number of peaks SCIPY,number of valleys,mean time between peaks,median time between peaks,mean height of peaks,median height of peaks,variance height of peaks,ratio of peaks,ratio of valleys
0,3.9824839042714872,3.3174027889061755,3.5601462428099686,2.750683544860898e-05,1.9254784814026286e-05,1.9254784814026286e-05,0.34690795662722185,0.33923354953706,0.016262450478594405,0.009380334953446071,0.0003473255581932774,7.566259963968515e-11,5.296381974777961e-11
0,7.146960286639313,4.043869449130206,5.56749601282211,4.146710621799258e-05,3.628371794074351e-05,3.628371794074351e-05,0.35214903277974746,0.29794115817627664,0.13589308805681136,0.08333867345513744,0.015210998740040638,2.1494011226178485e-10,1.8807259822906173e-10
0,4.711197092199839,2.393336904696354,4.072887837210284,4.1106307762926224e-05,4.1106307762926224e-05,4.1106307762926224e-05,0.283592417256428,0.2792557017874393,0.1018195684597148,0.12570226976042156,0.003313117507054726,2.8162142298340144e-10,2.8162142298340144e-10
0,7.700064493777689,3.21355582278412,5.407625222691979,5.070082365792615e-05,4.148249208375776e-05,4.148249208375776e-05,0.45765789849695104,0.459052171147544,0.20758610959194213,0.14682362044975655,0.028586693854126988,2.336885017811022e-10,1.9119968327544727e-10
0,3.6082854128689323,2.973925920987004,3.232516924075603,1.9288688286530708e-05,3.031079587883397e-05,3.031079587883397e-05,0.27124855679278714,0.21407826247495915,0.01379768314539861,0.005141211620077718,0.00032615188402749785,5.315049940213528e-11,8.352221334621258e-11
0,4.308028654654469,3.425198681782038,3.7514888230064183,1.4469769757023627e-05,3.183349346545198e-05,3.183349346545198e-05,0.18404678944748631,0.20142498292567168,0.04658236326840008,0.02054918647854143,0.002172574180106953,4.1874847364255115e-11,9.212466420136125e-11
0,6.261925553212177,3.3208830759753662,4.9800601786990235,4.073331607016604e-05,2.9095225764404318e-05,2.9095225764404318e-05,0.3681797153905016,0.28789143989362787,0.11354107021182236,0.10391799267446736,0.007133933881658406,1.1851450271943195e-10,8.465321622816568e-11
0,4.656700479059797,3.305709827995531,4.017253710122792,3.9321228220408593e-05,5.67973296517013e-05,6.116635500952448e-05,0.41827301165655967,0.3785432795651946,0.04770205155330755,0.02328965013783944,0.0028911291078132268,1.7179544319571745e-10,2.672373560822272e-10
0,6.673863390916325,1.8598189923395725,4.736634643339532,4.022607051630162e-05,4.693041560235188e-05,4.357824305932675e-05,0.319418465107236,0.35643315432731953,0.21472294688666035,0.24162455841504515,0.020449828449235357,1.348447290985392e-10,1.4608178985675076e-10
0,3.288227827962009,2.9055347749384817,3.07946548150494,2.5375719243042294e-05,6.343929810760574e-06,9.515894716140861e-06,0.4676396140353103,0.4739518241970171,0.0034619826087306012,0.0019518312475304326,1.906294779490531e-05,8.049089088771337e-11,3.018408408289252e-11
0,6.500643517195685,2.9553641711973744,4.288023540195486,4.0741771859658174e-05,3.395147654971515e-05,4.0741771859658174e-05,0.3305991077551963,0.3442679722141116,0.19037803751267804,0.1759903030439253,0.004698219821020342,2.766486623774058e-10,2.766486623774058e-10
0,5.366421539293949,3.136484549834692,4.198029791734247,4.269277567081024e-05,2.8461850447206826e-05,2.8461850447206826e-05,0.5232853513971211,0.5232924668597329,0.08417255834385222,0.08562027328152695,0.0040109309736452835,3.037788490796878e-10,2.0251923271979185e-10
0,12.011207644256547,8.370944838089413,9.118960539388125,1.6504101269165386e-05,2.2005468358887183e-05,1.9254784814026286e-05,0.5836125277131368,0.6797929285427429,0.22549138253959844,0.21320812673236572,0.02443237779624164,4.5397559783811086e-11,5.296381974777961e-11
