ECG_Rate_Mean,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_TINN,HRV_HTI,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_ApEn,HRV_SampEn,max GSR,min GSR,mean GSR,number of peaks,number of peaks SCIPY,number of valleys,mean time between peaks,median time between peaks,mean height of peaks,median height of peaks,variance height of peaks,ratio of peaks,ratio of valleys,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,labels
39.55205326,116.9449364,1518.512605,188.14008,117.1864587,0.123897608,0.077012819,1552.5,80.8017,0.052046184,109.25,30.25210084,62.60504202,1021,5.534883721,0.025456518,0.005328023,0.000452648,4.777854314,0.81494267,0.170566664,-5.234775,82.86333959,252.8405232,0.327729663,65820.16785,3.051295356,5.525329095,3085.964457,0.575630252,0.56768559,0.853846154,0.152542373,51.15093719,51.20245754,51.18169835,45.41484716,0.457018302,0.542981698,56.02106898,61.06286702,0.535671412,0.464328588,185.0529084,172.2897306,0.52804219,0.47195781,136.7167493,129.2525145,0.710698041,0.716863707,3.982483904,3.317402789,3.560146243,2.75e-05,1.93e-05,1.93e-05,126117,123327.0,0.01626245,0.009380335,0.000347326,7.57e-11,5.3e-11,1.6902215437174173,-1.2816483980597757,-1.4188815580487677,-0.0532782647493212,-1.1088884069075684,-0.2146107735628214,1.7382644192689063,0.5059206401333085,0.3292267073040211,0.0603001940764544,0.7898756696588056,0.6769309562363252,0.6295468377157767,1.426845385831248,1.4954001838215991,-1.0024359264063485,-1.7464299950677526,0.6705797276150854,0.5485925445456935,0.6769309562363292,0.6295468377157719,1.426845385831248,1.4954001838215891,0.7741883661068701,-0.1860219037960331,-0.0929148117465612,2.535333949787367,0.3750676004548242,-0.7014474000475857,1.107376428332273,-0.0290956674065961,-2.004206326596972,-0.6149664779329944,0.54804674413995,-0.2003553356764995,-0.1304671453659811,-0.0335246234383228,0.1552184765282829,-0.8073076737760445,-0.1548689858474242,-0.0765800174852446,0.8198723348556243,-0.1147582382012884,0.7809229563050523,1.0608355370930402,0.2134363501008597,0.3015814023583767,0.2030835151726006,0.1779959637407657,1
38.23232262,54.81803106,1569.598361,94.00717924,55.03797712,0.059892506,0.034924878,1594.5,71.9061,0.045096331,105.5,27.04918033,65.57377049,456,4.066666667,0.023700426,0.003052106,4.88e-05,7.765268707,0.88430146,0.113879055,-5.791923311,38.91772685,127.4792461,0.305286766,15586.07726,3.275608738,4.899706935,1670.28853,0.557377049,0.56302521,0.865671642,0.060606061,48.75632842,48.8190463,48.70079653,45.37815126,0.366953882,0.633046118,23.57850363,30.96907059,0.53027418,0.46972582,92.8302943,87.3698727,0.516346724,0.483653276,67.72521455,65.54608299,0.688536202,0.995199193,7.146960287,4.043869449,5.567496013,4.15e-05,3.63e-05,3.63e-05,67938,57480.0,0.135893088,0.083338673,0.015210999,2.15e-10,1.88e-10,-0.0219512171754642,-0.1444127087440131,-0.1753428630050199,0.3132635077399242,0.0350890884713502,-0.6742941166395843,-0.0784009533811368,0.0255801545636563,-0.2678966800755965,-1.1920390894756838,-1.087412687733347,0.3318743938675369,0.0844064378181334,-0.5799267434374008,-0.1068102172785687,-0.4034803073346443,-0.8379658744223446,-0.3003818231367215,-0.9525336521475344,0.3318743938675277,0.0844064378181372,-0.5799267434374019,-0.1068102172785632,-0.769587146775246,0.6931794574284911,1.1953482570511496,0.5973714326304022,0.8751577343945899,-0.2416443383591492,0.2259825081953561,0.5389066488068724,-0.0831097916503934,-0.1411952698937587,2.146258112351574,2.969648130943929,1.9625752456260488,3.1508985146895,0.7060356493821088,-1.021212202137434,-0.9589493581548204,-0.6221173929738655,-2.216461503801521,2.951329545265569,-2.097351841144838,0.0281311148092313,1.8551391339346528,0.7107311169399793,1.5357146569666655,1.4087065893148778,0
37.52695907,113.5998826,1596.813187,160.9339348,114.0756676,0.100784448,0.071141624,1645.0,102.2994,0.062188085,148.0,34.06593407,67.03296703,853,3.5,0.041010336,0.006112926,0.000152579,6.708789257,0.867469199,0.129303391,-5.097349654,80.66367809,209.0846945,0.385794275,52984.65812,2.592055055,5.431120246,2167.836157,0.494505495,0.494252874,0.720930233,0.045454545,44.84006093,44.68030669,45.07251757,43.67816092,0.404962271,0.595037729,51.40394118,62.31052177,0.686221039,0.313778961,173.2025402,117.1208332,0.649693297,0.350306703,127.7526616,93.80802389,0.714635811,1.057622944,4.711197092,2.393336905,4.072887837,4.11e-05,4.11e-05,4.11e-05,41394,40761.0,0.101819568,0.12570227,0.003313118,2.82e-10,2.82e-10,0.2215460089282792,-0.4899465698270083,-0.1536444913575718,-0.671715699458486,-0.6551880617847169,-0.625526972309485,0.1268125137683251,0.9569161719198518,0.4048172006262624,-0.3134134398573617,0.369823408847688,0.2440029037466249,-0.0081701733042484,-0.4688314234210926,-0.2629676565304646,0.9482355453082716,-0.6924530534059649,-0.7455548886649003,0.4234624026265903,0.2440029037466153,-0.0081701733042458,-0.4688314234210743,-0.2629676565304581,-0.5209011303031852,-0.510259168802534,-0.5004867359017893,-0.2756138821095126,-0.558924267344444,-0.6850018890820868,-0.1647746979405497,0.6566682702602519,-0.2620601053384787,-0.5473678340416519,-0.174459048134681,-0.3806711013238986,-0.2535221742202336,-0.4585482834482524,1.111282903762225,-1.443470105440062,-1.3382710153988389,0.1674461620185739,-0.1711462454782942,-0.6015646356339642,-0.6891218143239742,-1.4529798520652693,-1.6894489932420689,1.803681477136945,-1.6271785351614698,-0.4521807969582218,0
35.3622689,88.93929622,1697.464567,139.3597489,89.29255253,0.082098768,0.052395377,1717.0,85.9908,0.050082003,117.0,39.37007874,78.74015748,871,4.703703704,0.023782666,0.004243908,9.24e-05,5.603954882,0.845785796,0.150926589,-5.462270841,63.1393694,187.4288207,0.336871188,37178.03958,2.968493706,5.277256595,2225.525098,0.598425197,0.608,0.934210526,0.0,50.53471908,50.45364297,50.60209366,44.0,0.517470414,0.482529586,45.42047996,43.86023256,0.748384643,0.251615357,162.1432247,94.01668736,0.724849827,0.275150173,119.0660433,73.35822211,0.857761606,1.096083842,7.700064494,3.213555823,5.407625223,5.07e-05,4.15e-05,4.15e-05,99293,99595.5,0.20758611,0.14682362,0.028586694,2.34e-10,1.91e-10,-0.0762063923322701,-0.0235983268187204,1.016250881379907,1.6250852900883412,1.6249228704474832,-0.1450645851268536,-0.1097113361629998,-0.4202974327129501,-0.26413558926485,0.2048901196407516,-0.0200196140283835,-0.5287607856517934,0.035712762256918,-0.266013187094485,-0.1974851560578641,1.2621583926277835,-0.076889804193718,-1.490910332057539,0.4787852977674257,-0.5287607856517883,0.0357127622569186,-0.2660131870944861,-0.1974851560578667,-1.1426608509688692,-0.7704621150146476,-0.6148155743550102,-0.5649398539997811,-0.7060096008561397,1.154448899406021,-1.0703944872058644,1.4721168026889344,1.8461826853296164,1.2771101534126963,-0.4923412000496368,-0.108300045189313,-0.1738146221763979,-0.0770776216737877,-1.07401912114662,-0.2368338064788162,0.7781491190241777,0.369709411772258,0.0160034462491816,-0.0901860296472491,-0.7811419887165492,-0.2695856817572709,0.7530794032678922,-1.0724185514780151,0.6934728183788144,-0.3484161691693325,3
36.70665206,44.17408743,1634.791855,88.79190241,44.27296997,0.054313888,0.02702123,1654.0,75.6126,0.045714994,106.0,23.98190045,63.34841629,483,4.510204082,0.003797126,0.001664463,8.79e-06,2.281292443,0.694125378,0.304268477,-6.39825297,31.30571729,121.7815169,0.257064603,11977.18922,3.890072722,4.785325021,1894.955827,0.619909502,0.61682243,0.909090909,0.13559322,50.58437295,50.56759127,50.59979749,46.72897196,0.521145035,0.478854965,22.6006627,21.66426049,0.502783918,0.497216082,86.3519339,85.87247148,0.503922141,0.496077859,63.1167428,62.62356402,0.954808639,1.366037085,3.608285413,2.973925921,3.232516924,1.93e-05,3.03e-05,3.03e-05,98438,77690.5,0.013797683,0.005141212,0.000326152,5.32e-11,8.35e-11,0.7804225398657393,-0.5587530986633338,-0.6911080740593345,-0.3543762795180607,-0.6699348918129147,-0.3524309640609284,0.7713932759685581,-0.8135109864325135,-0.7370861060692088,0.3063074286238757,-0.267447658067809,-0.6189941393334457,-0.5132879160374113,0.0204236475695224,-0.4022257910010684,-0.637748133173006,-1.1311622763154674,0.0769248464344411,0.6030783932432902,-0.6189941393334477,-0.5132879160374136,0.0204236475695216,-0.4022257910010619,0.1119266918062734,0.196106981376545,0.1948940831690256,1.0544085854936402,0.3309420004013155,-0.8796071021738229,0.1306281036373343,-1.961956358870793,-0.6048441256070296,-0.673939162690877,-0.6191467440743962,-0.6683925524663109,-0.649439589144716,-0.6146113498258029,-1.7850182123480838,0.725757198200107,1.740807888460582,0.4461755581540442,-0.9304386103126406,-0.6204587771535914,-0.6865239928318118,-1.176682675385974,-0.48063210741945,-0.7288737803017983,-0.6292419991437375,-0.745477894598773,1
39.00043884,56.63885115,1538.695067,128.3463302,56.75164415,0.083412453,0.036809666,1570.0,111.195,0.070824841,155.0,29.14798206,69.05829596,743,4.744680851,0.011095985,0.001703315,8.17e-05,6.514346613,0.86142257,0.132234685,-6.375178851,40.12947242,176.8689254,0.226888202,22297.94604,4.407457032,5.05523497,3118.168757,0.421524664,0.422727273,0.720430108,0.078431373,48.34301332,48.41457159,48.28514331,50.0,0.479914121,0.520085879,27.80747482,28.94791703,0.585721254,0.414278746,135.362083,113.8407803,0.58053851,0.41946149,97.71424969,83.05933167,0.923796302,1.127860718,4.308028655,3.425198682,3.751488823,1.45e-05,3.18e-05,3.18e-05,63597,69602.0,0.046582363,0.020549187,0.002172574,4.19e-11,9.21e-11,-0.8366620683091711,0.799685308723281,1.655739376430536,0.4507667526725366,1.460511403750129,-0.1018102484166785,-0.8355615544469059,-1.0862260281596576,-1.248504083792383,-0.1418342335130388,-1.260036904505039,-0.7719880650737454,-0.4840306756194353,1.470014127795305,-0.3579177601271075,-1.217863270118268,0.4476872312277315,0.9867570176798106,0.4320906297714353,-0.771988065073748,-0.4840306756194337,1.470014127795305,-0.3579177601271129,1.3457527051673333,-0.2817256601228154,-0.4821583057933524,-0.1688188557815703,-0.3971304004815786,-0.4757996914512063,-0.8138232304712729,-0.5822327301345355,0.0029737041732256,-0.2705639140844115,-0.9464411378697396,-0.4339877166116778,1.5110091488299675,-0.0765599199824998,-0.2879476077188816,-0.4622126845688721,0.2686770046776975,0.5685390325962233,0.6129030369532131,-0.4530530927098602,1.5699810044473428,0.9634843352407672,-0.8232651136953232,-0.7077134855306969,-1.162065713788117,-0.8133951478490875,2
40.45469423,53.27460376,1483.482609,136.0867215,53.37494522,0.091734625,0.035911849,1512.0,148.26,0.098055556,222.5,30.43478261,66.95652174,551,4.693877551,0.005463156,0.000955837,1.5e-05,5.715570203,0.84911044,0.148560933,-6.952922703,37.74178571,188.6016928,0.200113717,22362.37385,4.997158699,5.056488014,3769.890359,0.504347826,0.502222222,0.778761062,0.035087719,48.28836998,48.25944344,48.32238814,47.11111111,0.440099455,0.559900545,25.0455725,28.24951482,0.49880449,0.50119551,133.2020055,133.5208757,0.496542802,0.503457198,95.83854905,96.50352155,0.825080882,0.981476712,6.261925553,3.320883076,4.980060179,4.07e-05,2.91e-05,2.91e-05,126543,98948.0,0.11354107,0.103917993,0.007133934,1.19e-10,8.47e-11,1.1949861253646563,-1.0760220706170611,-0.6229371231336845,1.8939501946852384,0.0231661195123818,-0.2854291483726179,1.2470494246266604,0.7232734945011103,0.8511177501930203,-0.0864193624464538,0.5769724689737187,1.2528899437602128,1.5014798481499525,0.597297912790655,1.3207726106567252,0.6490839831120245,-0.0342016765080224,-0.6319612167014034,0.6582751897594658,1.252889943760209,1.5014798481499518,0.5972979127906546,1.3207726106567197,-0.8954215254249017,-0.4397875375367522,-0.4444216653193791,-0.2245367335435702,-0.52215293396652,0.4724218309380195,0.6094427407849842,-0.048548941897195,-1.326341739256504,0.2215346956498956,0.1737519273213513,-0.0740644286514843,-0.4856959665178947,-0.2822651130556556,0.5042728252869358,-0.2682180073276996,-0.4216655532876293,0.8571374960507983,0.2510488740133454,-0.0691467197051314,-0.0514424527314231,0.3669436989889236,0.8522641572646821,0.4420600692290446,1.9573507040968496,2.367089935333096,2
43.01173177,35.87056636,1395.269939,142.5312208,35.9801815,0.102153151,0.025708693,1376.0,174.9468,0.12714157,237.0,15.95092025,53.37423313,564,4.794117647,0.002587045,0.000240404,4.67e-06,10.76123578,0.913465302,0.084884796,-8.333189436,25.44183033,199.1820892,0.127731517,15920.19958,7.828921373,4.908918618,6237.523661,0.429447853,0.438271605,0.732394366,0.076923077,49.4007409,49.47469978,49.32159609,48.7654321,0.477608002,0.522391998,17.58343023,18.38933663,0.547126591,0.452873409,147.3310197,134.0413193,0.546010482,0.453989518,104.9180785,95.66933415,0.679170789,0.670674325,4.656700479,3.305709828,4.01725371,3.93e-05,5.68e-05,6.12e-05,95736,86642.5,0.047702052,0.02328965,0.002891129,1.72e-10,2.67e-10,-1.6621412882089643,2.1371720768739184,0.3126063757161778,-1.984190383688241,-0.1450104952772781,0.4392930225851197,-1.6869043895261229,-2.17320076684176,-0.8587106577778794,2.840053488834426,-0.3077266419812038,-2.296671670678069,-2.1263196777776323,-0.6795996622627763,-1.9151135648235984,0.9216795094488566,1.0342842698168069,-0.9207337927932142,0.4828657096669387,-2.296671670678066,-2.1263196777776314,-0.6795996622627776,-1.915113564823599,1.7307885623188426,-0.2932364528885529,-0.485764278590495,-0.8810287959498045,-0.4927358672641808,2.5281107016253723,-1.6261075503479148,-0.5855334831961927,0.7686603214438676,-0.6080913519857748,-1.824993487603604,-0.9577192754772074,1.3080247747422191,-0.6030366534379109,-0.1970533127086697,-0.2301749067944599,0.4298062459880019,0.5107981162432651,0.8734075927661822,-0.977211459918674,1.2235250731058835,-0.2321887017423726,0.452204350823155,-1.601789167890917,-0.298186978104439,-1.008697406354666,2
38.04704497,135.8928093,1580.441489,191.9851035,136.2165373,0.121475616,0.085984081,1623.5,131.9514,0.081275885,191.75,30.31914894,64.89361702,1212,4.372093023,0.007713026,0.004277513,0.000174409,1.803156706,0.634036903,0.351626068,-5.45438361,96.31963722,251.9947543,0.382228739,76252.87297,2.616234462,5.589226321,2637.109442,0.505319149,0.5,0.769230769,0.083333333,53.07328605,53.04834355,53.04360989,49.45054945,0.56888161,0.43111839,72.67026725,63.26216998,0.732572056,0.267427944,215.6833768,130.3151455,0.711694652,0.288305348,160.9352149,102.4308042,0.77963249,0.764443477,6.673863391,1.859818992,4.736634643,4.02e-05,4.69e-05,4.36e-05,95287,106329.0,0.214722947,0.241624558,0.020449828,1.35e-10,1.46e-10,-1.674829738740612,1.6898985711059722,1.973459141484995,-0.0285573333786203,1.7912169111909904,3.1617718625784934,-1.5226312379811449,0.0498403469543457,-0.9137182390383576,-1.1878479785260834,-0.9838381576703316,0.1206993082481529,-0.7452019868792558,-1.725878920644354,-0.8324368498027128,0.5542018062656995,0.6358136794196313,0.0785755480953726,0.6011936697015461,0.1206993082481557,-0.7452019868792573,-1.725878920644356,-0.8324368498027233,-0.7910688067066074,-0.5590472212173053,-0.5023240691528824,-0.3229555757143719,-0.5809870673711983,-0.2434780383924698,-1.0729278192016554,0.7073116256233098,0.598747128985671,-0.5424140193996738,-0.0676274908882077,-0.0532792702727314,-0.5658459091903176,-0.1659032835641318,0.2200942664385099,-0.6639941189303437,0.0276611091734129,0.6960103053315508,1.546983064627476,-0.1882602777984768,1.0754857475018065,0.6175997155466568,-0.168161107957766,1.4046842347466262,0.1322069140074488,0.8138972526123855,0
36.33318592,59.60102277,1651.730159,85.59607139,59.74916921,0.051822067,0.036083995,1669.0,63.7518,0.038197603,85.0,21.69312169,66.13756614,600,5.25,0.024158884,0.005732556,8.27e-05,4.214330538,0.805992213,0.191250355,-5.161593847,42.24904272,113.0020693,0.373878487,14998.68355,2.674665793,4.883023252,1208.971077,0.597883598,0.604278075,0.902654867,0.035087719,51.54166069,51.63639072,51.45675138,47.59358289,0.414857696,0.585142304,27.21738592,32.32418508,0.672037256,0.327962744,92.63669905,64.71406077,0.64048614,0.35951386,68.27277681,51.15057479,1.004631533,1.322504623,3.288227828,2.905534775,3.079465482,2.54e-05,6.34e-06,9.52e-06,147429,149419.0,0.003461983,0.001951831,1.91e-05,8.05e-11,3.02e-11,0.4191669460559554,-0.5155195791407684,-0.8824376828493754,-0.4815147486466238,-0.8076765595231027,-0.3681212626714821,0.4054635761853198,0.3372209937249122,-0.1210786538259861,-0.6216615679398706,-0.1653116631445577,1.5426088085441043,0.8861186321664397,-0.308623994830873,0.9646701253120202,0.9503632166928098,-0.3804574583314921,-0.5786130938372297,0.4735821415108555,1.5426088085441108,0.8861186321664429,-0.308623994830874,0.9646701253120304,-0.3464918446488667,-0.2706556224988783,-0.525029902310715,-1.0078935358481445,-0.5074444006153505,-1.354671267279666,2.130700951635885,1.3854763322999022,0.915923575777426,2.8139712546505,0.7098688465600648,-0.1395581253677006,-0.7488021669075815,-0.3155930506217898,1.9683523433935104,1.3077773778987525,-1.8524015578534552,0.4024590298292866,-1.0308729421232412,-0.0357059904907481,-0.4118493707253772,-0.505068137385792,-1.55261312901907,0.1239153196425922,-0.8829229341666589,-0.6409266952370395,1
