ibi,bpm,sdsd,rmssd,pnn50,pnn20,pnn50pnn20,lf,hf,vlf,flf,Vhf,fvlf,maxSig,minSig,meanSig,sdSig,varSig
763.8231579,78.55952204,469.0716506,102262.9258,0.478902954,0.481012658,0.995614035,1.19E-09,2.23E-06,4.40E-11,7.78E-09,1.21E-07,2.45E-09,0.919643098,-0.741816124,9.40E-07,0.085416778,0.007296026
794.1735537,75.57380108,468.7900591,127299.2267,0.477178423,0.477178423,1,1.06E-10,1.28E-07,2.95E-12,1.14E-08,4.27E-08,3.67E-09,0.452852538,-0.38680876,4.33E-07,0.081376539,0.006622141
781.6612903,76.86879552,492.5614716,130746.3059,0.459459459,0.459459459,1,2.68E-09,6.23E-08,8.18E-10,1.52E-09,1.34E-08,3.76E-10,0.398468013,-0.311828733,9.03E-06,0.082256166,0.006766077
720.92,83.24153411,419.7978843,163218.7363,0.424749164,0.43812709,0.969465649,1.35E-08,1.35E-07,4.15E-09,1.32E-07,3.96E-07,4.29E-08,0.405026418,-0.33081728,-1.61E-05,0.082063701,0.006734451
779.4172043,77.04453207,502.9144611,121215.41,0.480603448,0.487068966,0.986725664,7.95E-10,1.14E-07,2.69E-10,8.64E-09,4.08E-08,2.82E-09,0.390093332,-0.30337526,3.10E-06,0.080664003,0.006506681
764.6075388,78.48403116,492.4841785,107366.4534,0.493333333,0.493333333,1,6.49E-08,2.89E-07,2.15E-08,2.87E-09,9.12E-09,9.91E-10,0.41884709,-0.322879936,2.87E-05,0.078586813,0.006175887
745.276087,80.47739446,441.7788596,115634.0685,0.479302832,0.479302832,1,2.94E-08,1.75E-07,9.56E-09,3.51E-09,1.82E-08,1.19E-09,0.4403518,-0.321923881,-1.92E-05,0.083303468,0.006939468
757.8770764,79.16673948,383.3499043,137526.4927,0.476666667,0.486666667,0.979452055,2.46E-09,8.93E-08,6.85E-10,1.92E-10,1.23E-08,3.09E-11,0.357305596,-0.274164416,-6.51E-06,0.08258905,0.006820951
765.2005141,78.44083751,450.2004223,143662.9239,0.43556701,0.443298969,0.98255814,1.73E-08,2.30E-07,5.27E-09,6.99E-08,2.02E-07,2.26E-08,0.432836943,-0.318349188,-1.54E-05,0.080023343,0.006403735
791.4332494,75.74652194,522.0886031,117570.7226,0.477272727,0.477272727,1,4.76E-08,2.33E-07,1.64E-08,3.43E-09,2.36E-08,1.09E-09,0.439093225,-0.340873682,2.61E-05,0.079961745,0.006393881
760.4611399,79.03903741,456.1144733,140982.5478,0.442708333,0.442708333,1,6.46E-09,1.80E-07,1.87E-09,4.70E-08,1.54E-07,1.42E-08,0.450139017,-0.324321058,-1.36E-05,0.081550868,0.006650544
