max GSR,min GSR,mean GSR,number of peaks,number of peaks SCIPY,number of valleys,mean time between peaks,median time between peaks,mean height of peaks,median height of peaks,variance height of peaks,ratio of peaks,ratio of valleys
3.982483904,3.317402789,3.560146243,2.75E-05,1.93E-05,1.93E-05,126117,123327,0.01626245,0.009380335,0.000347326,7.57E-11,5.30E-11
7.146960287,4.043869449,5.567496013,4.15E-05,3.63E-05,3.63E-05,67938,57480,0.135893088,0.083338673,0.015210999,2.15E-10,1.88E-10
4.711197092,2.393336905,4.072887837,4.11E-05,4.11E-05,4.11E-05,41394,40761,0.101819568,0.12570227,0.003313118,2.82E-10,2.82E-10
7.700064494,3.213555823,5.407625223,5.07E-05,4.15E-05,4.15E-05,99293,99595.5,0.20758611,0.14682362,0.028586694,2.34E-10,1.91E-10
3.608285413,2.973925921,3.232516924,1.93E-05,3.03E-05,3.03E-05,98438,77690.5,0.013797683,0.005141212,0.000326152,5.32E-11,8.35E-11
4.308028655,3.425198682,3.751488823,1.45E-05,3.18E-05,3.18E-05,63597,69602,0.046582363,0.020549187,0.002172574,4.19E-11,9.21E-11
6.261925553,3.320883076,4.980060179,4.07E-05,2.91E-05,2.91E-05,126543,98948,0.11354107,0.103917993,0.007133934,1.19E-10,8.47E-11
4.656700479,3.305709828,4.01725371,3.93E-05,5.68E-05,6.12E-05,95736,86642.5,0.047702052,0.02328965,0.002891129,1.72E-10,2.67E-10
6.673863391,1.859818992,4.736634643,4.02E-05,4.69E-05,4.36E-05,95287,106329,0.214722947,0.241624558,0.020449828,1.35E-10,1.46E-10
3.288227828,2.905534775,3.079465482,2.54E-05,6.34E-06,9.52E-06,147429,149419,0.003461983,0.001951831,1.91E-05,8.05E-11,3.02E-11
6.500643517,2.955364171,4.28802354,4.07E-05,3.40E-05,4.07E-05,48687,50700,0.190378038,0.175990303,0.00469822,2.77E-10,2.77E-10
5.366421539,3.13648455,4.198029792,4.27E-05,2.85E-05,2.85E-05,73542,73543,0.084172558,0.085620273,0.004010931,3.04E-10,2.03E-10
12.01120764,8.370944838,9.118960539,1.65E-05,2.20E-05,1.93E-05,212170,247136,0.225491383,0.213208127,0.024432378,4.54E-11,5.30E-11
