,0
0,1
1,0
2,0
3,3
4,1
5,2
6,2
7,2
8,0
9,1
10,3
11,3
12,1
13,0
14,0
15,3
16,1
17,2
18,2
19,2
20,0
21,1
22,3
23,3
24,1
25,0
26,0
27,3
28,1
29,2
30,2
31,2
32,0
33,1
34,3
35,3
36,1
37,0
38,0
39,3
40,1
41,2
42,2
43,2
44,0
45,1
46,3
47,3
48,1
49,0
50,0
51,3
52,1
53,2
54,2
55,2
56,0
57,1
58,3
59,3
60,1
61,0
62,0
63,3
64,1
65,2
66,2
67,2
68,0
69,1
70,3
71,3
72,1
73,0
74,0
75,3
76,1
77,2
78,2
79,2
80,0
81,1
82,3
83,3
84,1
85,0
86,0
87,3
88,1
89,2
90,2
91,2
92,0
93,1
94,3
95,3
96,1
97,0
98,0
99,3
100,1
101,2
102,2
103,2
104,0
105,1
106,3
107,3
108,1
109,0
110,0
111,3
112,1
113,2
114,2
115,2
116,0
117,1
118,3
119,3
120,1
121,0
122,0
123,3
124,1
125,2
126,2
127,2
128,0
129,1
130,3
131,3
132,1
133,0
134,0
135,3
136,1
137,2
138,2
139,2
140,0
141,1
142,3
143,3
144,1
145,0
146,0
147,3
148,1
149,2
150,2
151,2
152,0
153,1
154,3
155,3
156,1
157,0
158,0
159,3
160,1
161,2
162,2
163,2
164,0
165,1
166,3
167,3
168,1
169,0
170,0
171,3
172,1
173,2
174,2
175,2
176,0
177,1
178,3
179,3
180,1
181,0
182,0
183,3
184,1
185,2
186,2
187,2
188,0
189,1
190,3
191,3
192,1
193,0
194,0
195,3
196,1
197,2
198,2
199,2
200,0
201,1
202,3
203,3
204,1
205,0
206,0
207,3
208,1
209,2
210,2
211,2
212,0
213,1
214,3
215,3
216,1
217,0
218,0
219,3
220,1
221,2
222,2
223,2
224,0
225,1
226,3
227,3
228,1
229,0
230,0
231,3
232,1
233,2
234,2
235,2
236,0
237,1
238,3
239,3
240,1
241,0
242,0
243,3
244,1
245,2
246,2
247,2
248,0
249,1
250,3
251,3
252,1
253,0
254,0
255,3
256,1
257,2
258,2
259,2
260,0
261,1
262,3
263,3
264,1
265,0
266,0
267,3
268,1
269,2
270,2
271,2
272,0
273,1
274,3
275,3
276,1
277,0
278,0
279,3
280,1
281,2
282,2
283,2
284,0
285,1
286,3
287,3
288,1
289,0
290,0
291,3
292,1
293,2
294,2
295,2
296,0
297,1
298,3
299,3
300,1
301,0
302,0
303,3
304,1
305,2
306,2
307,2
308,0
309,1
310,3
311,3
