,0,1,2,3,accuracy,macro avg,weighted avg,name
precision,0.3333333333333333,0.45161290322580644,0.0,0.7777777777777778,0.5079365079365079,0.3906810035842294,0.3985321727257211,AdaBoost
recall,0.3076923076923077,0.9333333333333333,0.0,0.7777777777777778,0.5079365079365079,0.5047008547008547,0.5079365079365079,AdaBoost
f1-score,0.32,0.608695652173913,0.0,0.7777777777777778,0.5079365079365079,0.42661835748792265,0.4331815044858523,AdaBoost
support,13.0,15.0,17.0,18.0,0.5079365079365079,63.0,63.0,AdaBoost
precision,0.5,0.5217391304347826,0.6,0.8888888888888888,0.5873015873015873,0.6276570048309179,0.643271221532091,RFC
recall,0.6153846153846154,0.8,0.5294117647058824,0.4444444444444444,0.5873015873015873,0.5973102061337356,0.5873015873015873,RFC
f1-score,0.5517241379310345,0.6315789473684211,0.5625,0.5925925925925926,0.5873015873015873,0.584598919473012,0.5853216614332767,RFC
support,13.0,15.0,17.0,18.0,0.5873015873015873,63.0,63.0,RFC
precision,0.4444444444444444,0.4583333333333333,0.6666666666666666,1.0,0.5555555555555556,0.642361111111111,0.6664462081128748,KNN
recall,0.6153846153846154,0.7333333333333333,0.5882352941176471,0.3333333333333333,0.5555555555555556,0.5675716440422324,0.5555555555555556,KNN
f1-score,0.5161290322580646,0.5641025641025641,0.625,0.5,0.5555555555555556,0.5513078990901572,0.5523208869983064,KNN
support,13.0,15.0,17.0,18.0,0.5555555555555556,63.0,63.0,KNN
precision,0.4444444444444444,0.4444444444444444,0.5,1.0,0.5079365079365079,0.5972222222222222,0.6181657848324514,Linear SVC
recall,0.6153846153846154,0.8,0.35294117647058826,0.3333333333333333,0.5079365079365079,0.5254147812971343,0.5079365079365079,Linear SVC
f1-score,0.5161290322580646,0.5714285714285714,0.41379310344827586,0.5,0.5079365079365079,0.500337676783728,0.4970728372921286,Linear SVC
support,13.0,15.0,17.0,18.0,0.5079365079365079,63.0,63.0,Linear SVC
precision,0.4375,0.45,0.55,1.0,0.5396825396825397,0.609375,0.631547619047619,SVC
recall,0.5384615384615384,0.6,0.6470588235294118,0.3888888888888889,0.5396825396825397,0.5436023127199597,0.5396825396825397,SVC
f1-score,0.4827586206896552,0.5142857142857143,0.5945945945945946,0.56,0.5396825396825397,0.5379097323924911,0.5425119982755451,SVC
support,13.0,15.0,17.0,18.0,0.5396825396825397,63.0,63.0,SVC
precision,0.6470588235294118,0.6111111111111112,0.7333333333333333,0.9230769230769231,0.7142857142857143,0.7286450477626949,0.7406425818190524,GPC
recall,0.8461538461538461,0.7333333333333333,0.6470588235294118,0.6666666666666666,0.7142857142857143,0.7233031674208145,0.7142857142857143,GPC
f1-score,0.7333333333333334,0.6666666666666666,0.6875,0.7741935483870968,0.7142857142857143,0.7154233870967741,0.7167669397508107,GPC
support,13.0,15.0,17.0,18.0,0.7142857142857143,63.0,63.0,GPC
precision,0.42857142857142855,0.5384615384615384,0.45,0.75,0.5396825396825397,0.5417582417582417,0.5523547880690738,DTC
recall,0.46153846153846156,0.4666666666666667,0.5294117647058824,0.6666666666666666,0.5396825396825397,0.5310708898944193,0.5396825396825397,DTC
f1-score,0.4444444444444445,0.5,0.48648648648648646,0.7058823529411765,0.5396825396825397,0.5342033209680268,0.543713180968083,DTC
support,13.0,15.0,17.0,18.0,0.5396825396825397,63.0,63.0,DTC
precision,0.6,0.6111111111111112,0.6875,1.0,0.6825396825396826,0.7246527777777778,0.7405423280423281,MLP
recall,0.9230769230769231,0.7333333333333333,0.6470588235294118,0.5,0.6825396825396826,0.700867269984917,0.6825396825396826,MLP
f1-score,0.7272727272727274,0.6666666666666666,0.6666666666666667,0.6666666666666666,0.6825396825396826,0.6818181818181818,0.6791726791726792,MLP
support,13.0,15.0,17.0,18.0,0.6825396825396826,63.0,63.0,MLP
precision,0.3333333333333333,0.29411764705882354,0.5833333333333334,1.0,0.4444444444444444,0.5526960784313726,0.5819327731092437,NB
recall,0.6923076923076923,0.3333333333333333,0.4117647058823529,0.3888888888888889,0.4444444444444444,0.4565736551030668,0.4444444444444444,NB
f1-score,0.45,0.3125,0.4827586206896552,0.56,0.4444444444444444,0.4513146551724138,0.45753010399562133,NB
support,13.0,15.0,17.0,18.0,0.4444444444444444,63.0,63.0,NB
precision,0.14285714285714285,0.38461538461538464,0.4,0.38461538461538464,0.3333333333333333,0.328021978021978,0.33888016745159605,QDA
recall,0.15384615384615385,0.6666666666666666,0.23529411764705882,0.2777777777777778,0.3333333333333333,0.3333961789844143,0.3333333333333333,QDA
f1-score,0.14814814814814817,0.4878048780487804,0.29629629629629634,0.3225806451612903,0.3333333333333333,0.3137074919136288,0.31883313883488723,QDA
support,13.0,15.0,17.0,18.0,0.3333333333333333,63.0,63.0,QDA
