,0,1,2,3,accuracy,macro avg,weighted avg,name
precision,0.6153846153846154,0.625,0.5384615384615384,0.875,0.68,0.6634615384615384,0.6717307692307692,AdaBoost
recall,0.6153846153846154,0.45454545454545453,0.5833333333333334,1.0,0.68,0.6633158508158509,0.68,AdaBoost
f1-score,0.6153846153846154,0.5263157894736842,0.5599999999999999,0.9333333333333333,0.68,0.6587584345479083,0.671522807017544,AdaBoost
support,13.0,11.0,12.0,14.0,0.68,50.0,50.0,AdaBoost
precision,1.0,0.5789473684210527,0.8333333333333334,0.875,0.78,0.8218201754385965,0.8323684210526315,RFC
recall,0.6923076923076923,1.0,0.4166666666666667,1.0,0.78,0.7772435897435898,0.78,RFC
f1-score,0.8181818181818181,0.7333333333333334,0.5555555555555556,0.9333333333333333,0.78,0.7601010101010102,0.7687272727272727,RFC
support,13.0,11.0,12.0,14.0,0.78,50.0,50.0,RFC
precision,0.35294117647058826,0.46153846153846156,0.5555555555555556,0.7272727272727273,0.5,0.5243269802093331,0.5302728643905116,KNN
recall,0.46153846153846156,0.5454545454545454,0.4166666666666667,0.5714285714285714,0.5,0.4987720612720613,0.5,KNN
f1-score,0.4000000000000001,0.4999999999999999,0.4761904761904762,0.64,0.5,0.5040476190476191,0.5074857142857143,KNN
support,13.0,11.0,12.0,14.0,0.5,50.0,50.0,KNN
precision,0.8,0.6875,0.8571428571428571,0.7647058823529411,0.76,0.7773371848739495,0.7790819327731091,SVC
recall,0.6153846153846154,1.0,0.5,0.9285714285714286,0.76,0.760989010989011,0.76,SVC
f1-score,0.6956521739130435,0.8148148148148148,0.631578947368421,0.8387096774193549,0.76,0.7451889033789085,0.7465464815224908,SVC
support,13.0,11.0,12.0,14.0,0.76,50.0,50.0,SVC
precision,0.5833333333333334,0.6111111111111112,1.0,0.631578947368421,0.62,0.7065058479532165,0.702953216374269,GPC
recall,0.5384615384615384,1.0,0.08333333333333333,0.8571428571428571,0.62,0.6197344322344321,0.62,GPC
f1-score,0.5599999999999999,0.7586206896551725,0.15384615384615385,0.7272727272727273,0.62,0.5499348926935135,0.5530559922835785,GPC
support,13.0,11.0,12.0,14.0,0.62,50.0,50.0,GPC
precision,0.7142857142857143,0.5,0.75,0.75,0.68,0.6785714285714286,0.6857142857142857,DTC
recall,0.7692307692307693,0.5454545454545454,0.5,0.8571428571428571,0.68,0.667957042957043,0.68,DTC
f1-score,0.7407407407407408,0.5217391304347826,0.6,0.7999999999999999,0.68,0.6656199677938808,0.6753752012882447,DTC
support,13.0,11.0,12.0,14.0,0.68,50.0,50.0,DTC
precision,0.7,0.8,0.6923076923076923,0.7058823529411765,0.72,0.7245475113122173,0.7218009049773755,MLP
recall,0.5384615384615384,0.7272727272727273,0.75,0.8571428571428571,0.72,0.7182192807192808,0.72,MLP
f1-score,0.608695652173913,0.761904761904762,0.7199999999999999,0.7741935483870968,0.72,0.7161984906164429,0.715454110732652,MLP
support,13.0,11.0,12.0,14.0,0.72,50.0,50.0,MLP
precision,0.4230769230769231,0.625,1.0,0.9,0.62,0.7370192307692308,0.7395,NB
recall,0.8461538461538461,0.45454545454545453,0.5,0.6428571428571429,0.62,0.6108891108891109,0.62,NB
f1-score,0.5641025641025641,0.5263157894736842,0.6666666666666666,0.75,0.62,0.6267712550607287,0.6324561403508772,NB
support,13.0,11.0,12.0,14.0,0.62,50.0,50.0,NB
precision,0.3076923076923077,0.23529411764705882,0.25,0.25,0.26,0.26074660633484165,0.26176470588235295,QDA
recall,0.3076923076923077,0.36363636363636365,0.16666666666666666,0.21428571428571427,0.26,0.26307026307026304,0.26,QDA
f1-score,0.3076923076923077,0.2857142857142857,0.2,0.23076923076923075,0.26,0.2560439560439561,0.25547252747252747,QDA
support,13.0,11.0,12.0,14.0,0.26,50.0,50.0,QDA
