,0,1,2,3,accuracy,macro avg,weighted avg,name
precision,0.4375,0.5454545454545454,0.5,0.6470588235294118,0.54,0.5325033422459893,0.5349264705882353,AdaBoost
recall,0.5384615384615384,0.5454545454545454,0.25,0.7857142857142857,0.54,0.5299075924075923,0.54,AdaBoost
f1-score,0.4827586206896552,0.5454545454545454,0.3333333333333333,0.7096774193548386,0.54,0.5178059797080932,0.5242269187986651,AdaBoost
support,13.0,11.0,12.0,14.0,0.54,50.0,50.0,AdaBoost
precision,0.7692307692307693,0.7142857142857143,1.0,0.8125,0.8,0.8240041208791209,0.8246428571428572,RFC
recall,0.7692307692307693,0.9090909090909091,0.5833333333333334,0.9285714285714286,0.8,0.79755661005661,0.8,RFC
f1-score,0.7692307692307693,0.8,0.7368421052631579,0.8666666666666666,0.8,0.7931848852901485,0.7955087719298245,RFC
support,13.0,11.0,12.0,14.0,0.8,50.0,50.0,RFC
precision,0.25,0.45454545454545453,0.16666666666666666,0.6470588235294118,0.42,0.37956773618538325,0.3861764705882353,KNN
recall,0.3076923076923077,0.45454545454545453,0.08333333333333333,0.7857142857142857,0.42,0.40782134532134534,0.42,KNN
f1-score,0.27586206896551724,0.45454545454545453,0.1111111111111111,0.7096774193548386,0.42,0.3877990134942304,0.39710048201705594,KNN
support,13.0,11.0,12.0,14.0,0.42,50.0,50.0,KNN
precision,0.2564102564102564,0.2857142857142857,0.0,0.0,0.24,0.13553113553113552,0.1295238095238095,SVC
recall,0.7692307692307693,0.18181818181818182,0.0,0.0,0.24,0.23776223776223776,0.24,SVC
f1-score,0.38461538461538464,0.2222222222222222,0.0,0.0,0.24,0.15170940170940173,0.1488888888888889,SVC
support,13.0,11.0,12.0,14.0,0.24,50.0,50.0,SVC
precision,0.0,0.0,0.0,0.28,0.28,0.07,0.07840000000000001,GPC
recall,0.0,0.0,0.0,1.0,0.28,0.25,0.28,GPC
f1-score,0.0,0.0,0.0,0.43750000000000006,0.28,0.10937500000000001,0.12250000000000001,GPC
support,13.0,11.0,12.0,14.0,0.28,50.0,50.0,GPC
precision,0.5333333333333333,0.6,0.8333333333333334,0.7368421052631579,0.66,0.6758771929824562,0.6769824561403509,DTC
recall,0.6153846153846154,0.5454545454545454,0.4166666666666667,1.0,0.66,0.644376456876457,0.66,DTC
f1-score,0.5714285714285715,0.5714285714285713,0.5555555555555556,0.8484848484848484,0.66,0.6367243867243867,0.6451948051948051,DTC
support,13.0,11.0,12.0,14.0,0.66,50.0,50.0,DTC
precision,0.25,0.4444444444444444,0.21621621621621623,0.0,0.26,0.22766516516516516,0.2146696696696697,MLP
recall,0.07692307692307693,0.36363636363636365,0.6666666666666666,0.0,0.26,0.2768065268065268,0.26,MLP
f1-score,0.11764705882352941,0.39999999999999997,0.326530612244898,0.0,0.26,0.21104441776710683,0.19695558223289314,MLP
support,13.0,11.0,12.0,14.0,0.26,50.0,50.0,MLP
precision,0.2619047619047619,0.25,0.0,1.0,0.3,0.37797619047619047,0.4030952380952381,NB
recall,0.8461538461538461,0.09090909090909091,0.0,0.21428571428571427,0.3,0.2878371628371628,0.3,NB
f1-score,0.4,0.13333333333333333,0.0,0.35294117647058826,0.3,0.22156862745098038,0.23215686274509806,NB
support,13.0,11.0,12.0,14.0,0.3,50.0,50.0,NB
precision,0.16666666666666666,0.2,0.5,0.2857142857142857,0.24,0.28809523809523807,0.28733333333333333,QDA
recall,0.15384615384615385,0.45454545454545453,0.25,0.14285714285714285,0.24,0.2503121878121878,0.24,QDA
f1-score,0.16,0.2777777777777778,0.3333333333333333,0.19047619047619047,0.24,0.2403968253968254,0.23604444444444442,QDA
support,13.0,11.0,12.0,14.0,0.24,50.0,50.0,QDA
