,0,1,2,3,accuracy,macro avg,weighted avg,name
precision,0.3684210526315789,0.375,0.2727272727272727,0.75,0.44,0.4415370813397129,0.45374401913875595,AdaBoost
recall,0.5384615384615384,0.2727272727272727,0.25,0.6428571428571429,0.44,0.4260114885114885,0.44,AdaBoost
f1-score,0.4375,0.3157894736842105,0.2608695652173913,0.6923076923076924,0.44,0.42661668280232357,0.43967853370885407,AdaBoost
support,13.0,11.0,12.0,14.0,0.44,50.0,50.0,AdaBoost
precision,0.75,0.5555555555555556,0.5384615384615384,0.8125,0.68,0.6641292735042735,0.6739529914529915,RFC
recall,0.6923076923076923,0.45454545454545453,0.5833333333333334,0.9285714285714286,0.68,0.6646894771894771,0.68,RFC
f1-score,0.7199999999999999,0.5,0.5599999999999999,0.8666666666666666,0.68,0.6616666666666666,0.6742666666666666,RFC
support,13.0,11.0,12.0,14.0,0.68,50.0,50.0,RFC
precision,0.3333333333333333,0.2857142857142857,0.5,0.5,0.34,0.40476190476190477,0.4095238095238095,KNN
recall,0.7692307692307693,0.36363636363636365,0.16666666666666666,0.07142857142857142,0.34,0.34274059274059276,0.34,KNN
f1-score,0.4651162790697674,0.32,0.25,0.125,0.34,0.29002906976744186,0.28633023255813955,KNN
support,13.0,11.0,12.0,14.0,0.34,50.0,50.0,KNN
precision,0.5,0.4444444444444444,0.3076923076923077,0.5714285714285714,0.44,0.4558913308913309,0.46162393162393167,SVC
recall,0.46153846153846156,0.7272727272727273,0.3333333333333333,0.2857142857142857,0.44,0.45196470196470195,0.44,SVC
f1-score,0.48000000000000004,0.5517241379310345,0.32,0.38095238095238093,0.44,0.43316912972085386,0.4296459770114942,SVC
support,13.0,11.0,12.0,14.0,0.44,50.0,50.0,SVC
precision,0.0,0.0,0.0,0.28,0.28,0.07,0.07840000000000001,GPC
recall,0.0,0.0,0.0,1.0,0.28,0.25,0.28,GPC
f1-score,0.0,0.0,0.0,0.43750000000000006,0.28,0.10937500000000001,0.12250000000000001,GPC
support,13.0,11.0,12.0,14.0,0.28,50.0,50.0,GPC
precision,0.42857142857142855,0.6666666666666666,0.3888888888888889,0.6875,0.54,0.542906746031746,0.5439285714285714,DTC
recall,0.23076923076923078,0.5454545454545454,0.5833333333333334,0.7857142857142857,0.54,0.5363178488178488,0.54,DTC
f1-score,0.3,0.6,0.4666666666666666,0.7333333333333334,0.54,0.5249999999999999,0.5273333333333333,DTC
support,13.0,11.0,12.0,14.0,0.54,50.0,50.0,DTC
precision,0.4,0.3333333333333333,0.3,0.36363636363636365,0.34,0.34924242424242424,0.35115151515151516,MLP
recall,0.3076923076923077,0.2727272727272727,0.5,0.2857142857142857,0.34,0.3415334665334665,0.34,MLP
f1-score,0.34782608695652173,0.3,0.37499999999999994,0.32,0.34,0.33570652173913046,0.3360347826086956,MLP
support,13.0,11.0,12.0,14.0,0.34,50.0,50.0,MLP
precision,0.42857142857142855,0.3,0.07142857142857142,0.5789473684210527,0.36,0.3447368421052631,0.35667669172932326,NB
recall,0.23076923076923078,0.2727272727272727,0.08333333333333333,0.7857142857142857,0.36,0.34313603063603065,0.36,NB
f1-score,0.3,0.28571428571428564,0.07692307692307691,0.6666666666666667,0.36,0.3323260073260073,0.345985347985348,NB
support,13.0,11.0,12.0,14.0,0.36,50.0,50.0,NB
precision,0.3333333333333333,0.2222222222222222,0.1,0.0,0.22,0.1638888888888889,0.15955555555555553,QDA
recall,0.3076923076923077,0.5454545454545454,0.08333333333333333,0.0,0.22,0.23412004662004662,0.22,QDA
f1-score,0.32,0.3157894736842105,0.0909090909090909,0.0,0.22,0.18167464114832535,0.17449186602870811,QDA
support,13.0,11.0,12.0,14.0,0.22,50.0,50.0,QDA
