,0,1,2,3,accuracy,macro avg,weighted avg,name
precision,0.4444444444444444,0.6923076923076923,0.0,1.0,0.6896551724137931,0.5341880341880342,0.61508989095196,AdaBoost
recall,0.8,0.8181818181818182,0.0,0.875,0.6896551724137931,0.6232954545454545,0.6896551724137931,AdaBoost
f1-score,0.5714285714285714,0.7500000000000001,0.0,0.9333333333333333,0.6896551724137931,0.5636904761904762,0.6404761904761904,AdaBoost
support,5.0,11.0,5.0,8.0,0.6896551724137931,29.0,29.0,AdaBoost
precision,1.0,0.6470588235294118,0.5,1.0,0.7586206896551724,0.7867647058823529,0.7799188640973631,RFC
recall,0.6,1.0,0.2,0.875,0.7586206896551724,0.66875,0.7586206896551724,RFC
f1-score,0.7499999999999999,0.7857142857142858,0.28571428571428575,0.9333333333333333,0.7586206896551724,0.6886904761904762,0.7340722495894909,RFC
support,5.0,11.0,5.0,8.0,0.7586206896551724,29.0,29.0,RFC
precision,0.2,0.6363636363636364,0.3333333333333333,1.0,0.4482758620689655,0.5424242424242425,0.6091954022988505,KNN
recall,0.4,0.6363636363636364,0.4,0.25,0.4482758620689655,0.4215909090909091,0.4482758620689655,KNN
f1-score,0.26666666666666666,0.6363636363636364,0.3636363636363636,0.4,0.4482758620689655,0.41666666666666663,0.4603970741901776,KNN
support,5.0,11.0,5.0,8.0,0.4482758620689655,29.0,29.0,KNN
precision,1.0,0.47619047619047616,0.0,1.0,0.5517241379310345,0.6190476190476191,0.6288998357963875,SVC
recall,0.2,0.9090909090909091,0.0,0.625,0.5517241379310345,0.4335227272727273,0.5517241379310345,SVC
f1-score,0.33333333333333337,0.6249999999999999,0.0,0.7692307692307693,0.5517241379310345,0.43189102564102566,0.5067418213969939,SVC
support,5.0,11.0,5.0,8.0,0.5517241379310345,29.0,29.0,SVC
precision,0.0,0.0,0.0,0.27586206896551724,0.27586206896551724,0.06896551724137931,0.07609988109393578,GPC
recall,0.0,0.0,0.0,1.0,0.27586206896551724,0.25,0.27586206896551724,GPC
f1-score,0.0,0.0,0.0,0.4324324324324324,0.27586206896551724,0.1081081081081081,0.11929170549860205,GPC
support,5.0,11.0,5.0,8.0,0.27586206896551724,29.0,29.0,GPC
precision,0.375,0.75,0.16666666666666666,0.8571428571428571,0.5517241379310345,0.5372023809523809,0.6143267651888341,DTC
recall,0.6,0.5454545454545454,0.2,0.75,0.5517241379310345,0.5238636363636364,0.5517241379310345,DTC
f1-score,0.4615384615384615,0.631578947368421,0.1818181818181818,0.7999999999999999,0.5517241379310345,0.5187338976812661,0.5711776426839946,DTC
support,5.0,11.0,5.0,8.0,0.5517241379310345,29.0,29.0,DTC
precision,0.3333333333333333,0.5833333333333334,0.25,1.0,0.5517241379310345,0.5416666666666667,0.5977011494252874,MLP
recall,0.2,0.6363636363636364,0.4,0.75,0.5517241379310345,0.4965909090909091,0.5517241379310345,MLP
f1-score,0.25,0.6086956521739131,0.3076923076923077,0.8571428571428571,0.5517241379310345,0.5058827042522694,0.563491605845429,MLP
support,5.0,11.0,5.0,8.0,0.5517241379310345,29.0,29.0,MLP
precision,0.5,0.42857142857142855,0.2,0.6666666666666666,0.41379310344827586,0.44880952380952377,0.4671592775041051,NB
recall,0.6,0.2727272727272727,0.4,0.5,0.41379310344827586,0.4431818181818182,0.41379310344827586,NB
f1-score,0.5454545454545454,0.33333333333333326,0.26666666666666666,0.5714285714285715,0.41379310344827586,0.42922077922077917,0.42409314823107924,NB
support,5.0,11.0,5.0,8.0,0.41379310344827586,29.0,29.0,NB
precision,0.0,0.6666666666666666,0.09090909090909091,0.42857142857142855,0.3448275862068966,0.29653679653679654,0.386774145394835,QDA
recall,0.0,0.5454545454545454,0.2,0.375,0.3448275862068966,0.28011363636363634,0.3448275862068966,QDA
f1-score,0.0,0.6,0.12500000000000003,0.39999999999999997,0.3448275862068966,0.28125,0.3594827586206896,QDA
support,5.0,11.0,5.0,8.0,0.3448275862068966,29.0,29.0,QDA
