,0,1,2,3,accuracy,macro avg,weighted avg,name
precision,0.8181818181818182,0.7333333333333333,0.8888888888888888,0.8666666666666667,0.82,0.8267676767676767,0.830060606060606,RFC
recall,0.6923076923076923,1.0,0.6666666666666666,0.9285714285714286,0.82,0.8218864468864469,0.82,RFC
f1-score,0.7500000000000001,0.846153846153846,0.761904761904762,0.896551724137931,0.82,0.8136525830491348,0.8150454717696098,RFC
support,13.0,11.0,12.0,14.0,0.82,50.0,50.0,RFC
precision,0.625,0.7,0.7333333333333333,0.7058823529411765,0.7,0.6910539215686274,0.6901470588235294,MLP
recall,0.38461538461538464,0.6363636363636364,0.9166666666666666,0.8571428571428571,0.7,0.6986971361971362,0.7,MLP
f1-score,0.4761904761904762,0.6666666666666666,0.8148148148148148,0.7741935483870968,0.7,0.6829663765147636,0.6828059395801331,MLP
support,13.0,11.0,12.0,14.0,0.7,50.0,50.0,MLP
precision,0.5294117647058824,0.6666666666666666,1.0,0.6666666666666666,0.66,0.7156862745098039,0.7109803921568627,SVC
recall,0.6923076923076923,0.9090909090909091,0.5,0.5714285714285714,0.66,0.6682067932067932,0.66,SVC
f1-score,0.5999999999999999,0.7692307692307692,0.6666666666666666,0.6153846153846153,0.66,0.6628205128205128,0.6575384615384614,SVC
support,13.0,11.0,12.0,14.0,0.66,50.0,50.0,SVC
