,0,1,accuracy,macro avg,weighted avg,name
precision,0.8076923076923077,0.875,0.84,0.8413461538461539,0.8426923076923077,AdaBoost
recall,0.875,0.8076923076923077,0.84,0.8413461538461539,0.84,AdaBoost
f1-score,0.8400000000000001,0.8400000000000001,0.84,0.8400000000000001,0.8400000000000002,AdaBoost
support,24.0,26.0,0.84,50.0,50.0,AdaBoost
precision,0.7777777777777778,0.8695652173913043,0.82,0.8236714975845411,0.8255072463768116,RFC
recall,0.875,0.7692307692307693,0.82,0.8221153846153846,0.82,RFC
f1-score,0.823529411764706,0.8163265306122449,0.82,0.8199279711884755,0.8197839135654261,RFC
support,24.0,26.0,0.82,50.0,50.0,RFC
precision,0.22727272727272727,0.32142857142857145,0.28,0.27435064935064934,0.2762337662337662,KNN
recall,0.20833333333333334,0.34615384615384615,0.28,0.27724358974358976,0.28,KNN
f1-score,0.21739130434782608,0.3333333333333333,0.28,0.2753623188405797,0.27768115942028987,KNN
support,24.0,26.0,0.28,50.0,50.0,KNN
precision,0.48,0.0,0.48,0.24,0.2304,SVC
recall,1.0,0.0,0.48,0.5,0.48,SVC
f1-score,0.6486486486486487,0.0,0.48,0.32432432432432434,0.3113513513513514,SVC
support,24.0,26.0,0.48,50.0,50.0,SVC
precision,0.5,0.5384615384615384,0.52,0.5192307692307692,0.52,GPC
recall,0.5,0.5384615384615384,0.52,0.5192307692307692,0.52,GPC
f1-score,0.5,0.5384615384615384,0.52,0.5192307692307692,0.52,GPC
support,24.0,26.0,0.52,50.0,50.0,GPC
precision,0.68,0.72,0.7,0.7,0.7008,DTC
recall,0.7083333333333334,0.6923076923076923,0.7,0.7003205128205128,0.7,DTC
f1-score,0.6938775510204083,0.7058823529411765,0.7,0.6998799519807923,0.7001200480192077,DTC
support,24.0,26.0,0.7,50.0,50.0,DTC
precision,0.6923076923076923,0.75,0.72,0.7211538461538461,0.7223076923076923,MLP
recall,0.75,0.6923076923076923,0.72,0.7211538461538461,0.72,MLP
f1-score,0.7199999999999999,0.7199999999999999,0.72,0.7199999999999999,0.7199999999999999,MLP
support,24.0,26.0,0.72,50.0,50.0,MLP
precision,0.75,0.7692307692307693,0.76,0.7596153846153846,0.76,NB
recall,0.75,0.7692307692307693,0.76,0.7596153846153846,0.76,NB
f1-score,0.75,0.7692307692307693,0.76,0.7596153846153846,0.76,NB
support,24.0,26.0,0.76,50.0,50.0,NB
precision,0.48,0.0,0.48,0.24,0.2304,QDA
recall,1.0,0.0,0.48,0.5,0.48,QDA
f1-score,0.6486486486486487,0.0,0.48,0.32432432432432434,0.3113513513513514,QDA
support,24.0,26.0,0.48,50.0,50.0,QDA
