,0,1,accuracy,macro avg,weighted avg,name
precision,0.6296296296296297,0.6956521739130435,0.66,0.6626409017713366,0.6639613526570048,AdaBoost
recall,0.7083333333333334,0.6153846153846154,0.66,0.6618589743589745,0.66,AdaBoost
f1-score,0.6666666666666667,0.6530612244897959,0.66,0.6598639455782314,0.6595918367346938,AdaBoost
support,24.0,26.0,0.66,50.0,50.0,AdaBoost
precision,0.6818181818181818,0.6785714285714286,0.68,0.6801948051948052,0.6801298701298701,RFC
recall,0.625,0.7307692307692307,0.68,0.6778846153846154,0.68,RFC
f1-score,0.6521739130434783,0.7037037037037038,0.68,0.6779388083735911,0.6789694041867956,RFC
support,24.0,26.0,0.68,50.0,50.0,RFC
precision,0.23809523809523808,0.3448275862068966,0.3,0.29146141215106736,0.2935960591133005,KNN
recall,0.20833333333333334,0.38461538461538464,0.3,0.296474358974359,0.3,KNN
f1-score,0.22222222222222224,0.3636363636363637,0.3,0.292929292929293,0.29575757575757583,KNN
support,24.0,26.0,0.3,50.0,50.0,KNN
precision,0.48,0.0,0.48,0.24,0.2304,SVC
recall,1.0,0.0,0.48,0.5,0.48,SVC
f1-score,0.6486486486486487,0.0,0.48,0.32432432432432434,0.3113513513513514,SVC
support,24.0,26.0,0.48,50.0,50.0,SVC
precision,0.52,0.56,0.54,0.54,0.5408000000000001,GPC
recall,0.5416666666666666,0.5384615384615384,0.54,0.5400641025641025,0.54,GPC
f1-score,0.5306122448979592,0.5490196078431373,0.54,0.5398159263705482,0.5401840736294519,GPC
support,24.0,26.0,0.54,50.0,50.0,GPC
precision,0.6,0.7,0.64,0.6499999999999999,0.6519999999999999,DTC
recall,0.75,0.5384615384615384,0.64,0.6442307692307692,0.64,DTC
f1-score,0.6666666666666665,0.608695652173913,0.64,0.6376811594202898,0.6365217391304347,DTC
support,24.0,26.0,0.64,50.0,50.0,DTC
precision,0.6818181818181818,0.6785714285714286,0.68,0.6801948051948052,0.6801298701298701,MLP
recall,0.625,0.7307692307692307,0.68,0.6778846153846154,0.68,MLP
f1-score,0.6521739130434783,0.7037037037037038,0.68,0.6779388083735911,0.6789694041867956,MLP
support,24.0,26.0,0.68,50.0,50.0,MLP
precision,0.6956521739130435,0.7037037037037037,0.7,0.6996779388083736,0.6998389694041868,NB
recall,0.6666666666666666,0.7307692307692307,0.7,0.6987179487179487,0.7,NB
f1-score,0.6808510638297872,0.7169811320754716,0.7,0.6989160979526294,0.6996386993175432,NB
support,24.0,26.0,0.7,50.0,50.0,NB
precision,0.6470588235294118,0.6060606060606061,0.62,0.6265597147950089,0.6257397504456328,QDA
recall,0.4583333333333333,0.7692307692307693,0.62,0.6137820512820513,0.62,QDA
f1-score,0.5365853658536585,0.6779661016949152,0.62,0.6072757337742869,0.6101033484911119,QDA
support,24.0,26.0,0.62,50.0,50.0,QDA
