,0,1,2,3,accuracy,macro avg,weighted avg,name
precision,0.75,0.5,0.4,0.7647058823529411,0.6,0.6036764705882353,0.6151176470588235,RFC
recall,0.46153846153846156,0.45454545454545453,0.5,0.9285714285714286,0.6,0.5861638361638362,0.6,RFC
f1-score,0.5714285714285714,0.47619047619047616,0.4444444444444445,0.8387096774193549,0.6,0.5826932923707117,0.5948387096774194,RFC
support,13.0,11.0,12.0,14.0,0.6,50.0,50.0,RFC
precision,0.75,0.38461538461538464,0.2727272727272727,0.7222222222222222,0.54,0.5323912198912198,0.5472921522921523,MLP
recall,0.46153846153846156,0.45454545454545453,0.25,0.9285714285714286,0.54,0.5236638361638362,0.54,MLP
f1-score,0.5714285714285714,0.41666666666666663,0.2608695652173913,0.8125000000000001,0.54,0.5153662008281573,0.5303467908902691,MLP
support,13.0,11.0,12.0,14.0,0.54,50.0,50.0,MLP
precision,0.8,0.3333333333333333,0.18181818181818182,0.7647058823529411,0.54,0.5199643493761141,0.5390873440285204,SVC
recall,0.6153846153846154,0.36363636363636365,0.16666666666666666,0.9285714285714286,0.54,0.5185647685647685,0.54,SVC
f1-score,0.6956521739130435,0.34782608695652173,0.17391304347826086,0.8387096774193549,0.54,0.5140252454417953,0.5339691444600281,SVC
support,13.0,11.0,12.0,14.0,0.54,50.0,50.0,SVC
