,0,1,2,3,accuracy,macro avg,weighted avg,name
precision,0.4444444444444444,0.5333333333333333,0.4117647058823529,0.6153846153846154,0.49206349206349204,0.5012317747611865,0.5056301722968389,AdaBoost
recall,0.6153846153846154,0.5333333333333333,0.4117647058823529,0.4444444444444444,0.49206349206349204,0.5012317747611865,0.49206349206349204,AdaBoost
f1-score,0.5161290322580646,0.5333333333333333,0.4117647058823529,0.5161290322580646,0.49206349206349204,0.49433902593295387,0.49206349206349215,AdaBoost
support,13.0,15.0,17.0,18.0,0.49206349206349204,63.0,63.0,AdaBoost
precision,0.45,0.5238095238095238,0.5882352941176471,1.0,0.5555555555555556,0.6405112044817928,0.6620181405895691,RFC
recall,0.6923076923076923,0.7333333333333333,0.5882352941176471,0.2777777777777778,0.5555555555555556,0.5729135243841126,0.5555555555555556,RFC
f1-score,0.5454545454545455,0.611111111111111,0.5882352941176471,0.4347826086956522,0.5555555555555556,0.544895889844739,0.5410105192713889,RFC
support,13.0,15.0,17.0,18.0,0.5555555555555556,63.0,63.0,RFC
precision,0.09523809523809523,0.3157894736842105,0.125,0.4666666666666667,0.25396825396825395,0.2506735588972431,0.2619037673548952,KNN
recall,0.15384615384615385,0.4,0.058823529411764705,0.3888888888888889,0.25396825396825395,0.25038964303670186,0.25396825396825395,KNN
f1-score,0.11764705882352941,0.35294117647058826,0.07999999999999999,0.42424242424242425,0.25396825396825395,0.24370766488413548,0.25110941346235466,KNN
support,13.0,15.0,17.0,18.0,0.25396825396825395,63.0,63.0,KNN
precision,0.14285714285714285,0.5333333333333333,0.0,0.5,0.3492063492063492,0.29404761904761906,0.29931972789115646,SVC
recall,0.23076923076923078,0.5333333333333333,0.0,0.6111111111111112,0.3492063492063492,0.3438034188034188,0.3492063492063492,SVC
f1-score,0.17647058823529413,0.5333333333333333,0.0,0.55,0.3492063492063492,0.31495098039215685,0.3205415499533147,SVC
support,13.0,15.0,17.0,18.0,0.3492063492063492,63.0,63.0,SVC
precision,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.08163265306122448,GPC
recall,0.0,0.0,0.0,1.0,0.2857142857142857,0.25,0.2857142857142857,GPC
f1-score,0.0,0.0,0.0,0.4444444444444445,0.2857142857142857,0.11111111111111112,0.12698412698412698,GPC
support,13.0,15.0,17.0,18.0,0.2857142857142857,63.0,63.0,GPC
precision,0.3684210526315789,0.5,0.5625,0.6,0.49206349206349204,0.5077302631578947,0.5182852965747702,DTC
recall,0.5384615384615384,0.6,0.5294117647058824,0.3333333333333333,0.49206349206349204,0.5003016591251885,0.49206349206349204,DTC
f1-score,0.4375,0.5454545454545454,0.5454545454545455,0.42857142857142855,0.49206349206349204,0.48924512987012986,0.48978303442589155,DTC
support,13.0,15.0,17.0,18.0,0.49206349206349204,63.0,63.0,DTC
precision,0.3,0.36,0.5,0.34615384615384615,0.3492063492063492,0.3765384615384615,0.38144078144078136,MLP
recall,0.23076923076923078,0.6,0.058823529411764705,0.5,0.3492063492063492,0.34739819004524886,0.3492063492063492,MLP
f1-score,0.2608695652173913,0.45,0.10526315789473684,0.40909090909090906,0.3492063492063492,0.3063059080507593,0.30626054596306307,MLP
support,13.0,15.0,17.0,18.0,0.3492063492063492,63.0,63.0,MLP
precision,0.2,0.09090909090909091,0.5,0.0,0.19047619047619047,0.19772727272727272,0.19783549783549786,NB
recall,0.7692307692307693,0.06666666666666667,0.058823529411764705,0.0,0.19047619047619047,0.22368024132730016,0.19047619047619047,NB
f1-score,0.31746031746031744,0.07692307692307691,0.10526315789473684,0.0,0.19047619047619047,0.1249116380695328,0.11222704706413977,NB
support,13.0,15.0,17.0,18.0,0.19047619047619047,63.0,63.0,NB
precision,0.3333333333333333,0.32,0.42857142857142855,0.0,0.3333333333333333,0.2704761904761905,0.2606198034769463,QDA
recall,0.5384615384615384,0.5333333333333333,0.35294117647058826,0.0,0.3333333333333333,0.356184012066365,0.3333333333333333,QDA
f1-score,0.41176470588235287,0.4,0.3870967741935484,0.0,0.3333333333333333,0.2997153700189753,0.28466010059937946,QDA
support,13.0,15.0,17.0,18.0,0.3333333333333333,63.0,63.0,QDA
