,0,1,2,3,accuracy,macro avg,weighted avg,name
precision,0.6153846153846154,0.625,0.5384615384615384,0.875,0.68,0.6634615384615384,0.6717307692307692,AdaBoost
recall,0.6153846153846154,0.45454545454545453,0.5833333333333334,1.0,0.68,0.6633158508158509,0.68,AdaBoost
f1-score,0.6153846153846154,0.5263157894736842,0.5599999999999999,0.9333333333333333,0.68,0.6587584345479083,0.671522807017544,AdaBoost
support,13.0,11.0,12.0,14.0,0.68,50.0,50.0,AdaBoost
precision,0.9,0.6470588235294118,0.8333333333333334,0.8235294117647058,0.78,0.8009803921568628,0.8069411764705883,RFC
recall,0.6923076923076923,1.0,0.4166666666666667,1.0,0.78,0.7772435897435898,0.78,RFC
f1-score,0.7826086956521738,0.7857142857142858,0.5555555555555556,0.9032258064516129,0.78,0.756776085843407,0.7625719628664931,RFC
support,13.0,11.0,12.0,14.0,0.78,50.0,50.0,RFC
precision,0.42857142857142855,0.3684210526315789,0.5454545454545454,0.5,0.44,0.46061175666438825,0.46339029391660974,KNN
recall,0.46153846153846156,0.6363636363636364,0.5,0.21428571428571427,0.44,0.453046953046953,0.44,KNN
f1-score,0.4444444444444445,0.4666666666666667,0.5217391304347826,0.3,0.44,0.43321256038647343,0.42743961352657,KNN
support,13.0,11.0,12.0,14.0,0.44,50.0,50.0,KNN
precision,0.5294117647058824,0.6666666666666666,1.0,0.6666666666666666,0.66,0.7156862745098039,0.7109803921568627,SVC
recall,0.6923076923076923,0.9090909090909091,0.5,0.5714285714285714,0.66,0.6682067932067932,0.66,SVC
f1-score,0.5999999999999999,0.7692307692307692,0.6666666666666666,0.6153846153846153,0.66,0.6628205128205128,0.6575384615384614,SVC
support,13.0,11.0,12.0,14.0,0.66,50.0,50.0,SVC
precision,0.6666666666666666,0.7142857142857143,1.0,0.6,0.7,0.7452380952380953,0.7384761904761905,GPC
recall,0.46153846153846156,0.9090909090909091,0.5833333333333334,0.8571428571428571,0.7,0.7027763902763903,0.7,GPC
f1-score,0.5454545454545455,0.8,0.7368421052631579,0.7058823529411764,0.7,0.69704475091472,0.6923073459048692,GPC
support,13.0,11.0,12.0,14.0,0.7,50.0,50.0,GPC
precision,0.6428571428571429,0.5454545454545454,0.75,0.6470588235294118,0.64,0.646342627960275,0.6483193277310925,DTC
recall,0.6923076923076923,0.5454545454545454,0.5,0.7857142857142857,0.64,0.6308691308691309,0.64,DTC
f1-score,0.6666666666666666,0.5454545454545454,0.6,0.7096774193548386,0.64,0.6304496578690126,0.6360430107526881,DTC
support,13.0,11.0,12.0,14.0,0.64,50.0,50.0,DTC
precision,0.5,0.6153846153846154,0.7692307692307693,0.7142857142857143,0.66,0.6497252747252747,0.65,MLP
recall,0.38461538461538464,0.7272727272727273,0.8333333333333334,0.7142857142857143,0.66,0.6648767898767899,0.66,MLP
f1-score,0.4347826086956522,0.6666666666666667,0.8,0.7142857142857143,0.66,0.6539337474120083,0.6517101449275363,MLP
support,13.0,11.0,12.0,14.0,0.66,50.0,50.0,MLP
precision,0.4230769230769231,0.625,1.0,0.9,0.62,0.7370192307692308,0.7395,NB
recall,0.8461538461538461,0.45454545454545453,0.5,0.6428571428571429,0.62,0.6108891108891109,0.62,NB
f1-score,0.5641025641025641,0.5263157894736842,0.6666666666666666,0.75,0.62,0.6267712550607287,0.6324561403508772,NB
support,13.0,11.0,12.0,14.0,0.62,50.0,50.0,NB
precision,0.4166666666666667,0.36363636363636365,0.16666666666666666,0.3,0.34,0.3117424242424242,0.31233333333333335,QDA
recall,0.38461538461538464,0.7272727272727273,0.08333333333333333,0.21428571428571427,0.34,0.35237678987678983,0.34,QDA
f1-score,0.4,0.4848484848484849,0.1111111111111111,0.25,0.34,0.31148989898989904,0.3073333333333334,QDA
support,13.0,11.0,12.0,14.0,0.34,50.0,50.0,QDA
