,0,1,accuracy,macro avg,weighted avg,name
precision,0.6551724137931034,0.7142857142857143,0.68,0.6847290640394088,0.6847290640394089,AdaBoost
recall,0.76,0.6,0.68,0.6799999999999999,0.68,AdaBoost
f1-score,0.7037037037037037,0.6521739130434783,0.68,0.677938808373591,0.677938808373591,AdaBoost
support,25.0,25.0,0.68,50.0,50.0,AdaBoost
precision,0.6956521739130435,0.6666666666666666,0.68,0.681159420289855,0.681159420289855,RFC
recall,0.64,0.72,0.68,0.6799999999999999,0.68,RFC
f1-score,0.6666666666666666,0.6923076923076923,0.68,0.6794871794871795,0.6794871794871794,RFC
support,25.0,25.0,0.68,50.0,50.0,RFC
precision,0.5833333333333334,0.5769230769230769,0.58,0.5801282051282051,0.5801282051282051,KNN
recall,0.56,0.6,0.58,0.5800000000000001,0.58,KNN
f1-score,0.5714285714285714,0.5882352941176471,0.58,0.5798319327731092,0.5798319327731093,KNN
support,25.0,25.0,0.58,50.0,50.0,KNN
precision,0.7272727272727273,0.6785714285714286,0.7,0.702922077922078,0.702922077922078,SVC
recall,0.64,0.76,0.7,0.7,0.7,SVC
f1-score,0.6808510638297872,0.7169811320754718,0.7,0.6989160979526294,0.6989160979526295,SVC
support,25.0,25.0,0.7,50.0,50.0,SVC
precision,0.5416666666666666,0.5384615384615384,0.54,0.5400641025641025,0.5400641025641025,GPC
recall,0.52,0.56,0.54,0.54,0.54,GPC
f1-score,0.5306122448979592,0.5490196078431373,0.54,0.5398159263705482,0.5398159263705482,GPC
support,25.0,25.0,0.54,50.0,50.0,GPC
precision,0.7391304347826086,0.7037037037037037,0.72,0.7214170692431562,0.7214170692431562,DTC
recall,0.68,0.76,0.72,0.72,0.72,DTC
f1-score,0.7083333333333334,0.7307692307692308,0.72,0.7195512820512822,0.719551282051282,DTC
support,25.0,25.0,0.72,50.0,50.0,DTC
precision,0.6666666666666666,0.59375,0.62,0.6302083333333333,0.6302083333333333,MLP
recall,0.48,0.76,0.62,0.62,0.62,MLP
f1-score,0.5581395348837209,0.6666666666666666,0.62,0.6124031007751938,0.6124031007751938,MLP
support,25.0,25.0,0.62,50.0,50.0,MLP
precision,0.6551724137931034,0.7142857142857143,0.68,0.6847290640394088,0.6847290640394089,NB
recall,0.76,0.6,0.68,0.6799999999999999,0.68,NB
f1-score,0.7037037037037037,0.6521739130434783,0.68,0.677938808373591,0.677938808373591,NB
support,25.0,25.0,0.68,50.0,50.0,NB
precision,0.5135135135135135,0.5384615384615384,0.52,0.525987525987526,0.525987525987526,QDA
recall,0.76,0.28,0.52,0.52,0.52,QDA
f1-score,0.6129032258064517,0.3684210526315789,0.52,0.49066213921901536,0.49066213921901536,QDA
support,25.0,25.0,0.52,50.0,50.0,QDA
