,0,1,2,3,accuracy,macro avg,weighted avg,name
precision,0.5555555555555556,0.4375,0.0,0.6818181818181818,0.5396825396825397,0.41871843434343436,0.4136103094436428,AdaBoost
recall,0.38461538461538464,0.9333333333333333,0.0,0.8333333333333334,0.5396825396825397,0.5378205128205128,0.5396825396825397,AdaBoost
f1-score,0.4545454545454546,0.5957446808510638,0.0,0.7499999999999999,0.5396825396825397,0.4500725338491296,0.4499247797120137,AdaBoost
support,13.0,15.0,17.0,18.0,0.5396825396825397,63.0,63.0,AdaBoost
precision,0.44,0.45454545454545453,0.5555555555555556,0.7142857142857143,0.49206349206349204,0.5410966810966811,0.5530122082503034,RFC
recall,0.8461538461538461,0.6666666666666666,0.29411764705882354,0.2777777777777778,0.49206349206349204,0.5211789844142786,0.49206349206349204,RFC
f1-score,0.5789473684210525,0.5405405405405405,0.3846153846153846,0.4,0.49206349206349204,0.4760258233942444,0.46623627676259255,RFC
support,13.0,15.0,17.0,18.0,0.49206349206349204,63.0,63.0,RFC
precision,0.3333333333333333,0.5,0.4666666666666667,0.6666666666666666,0.47619047619047616,0.4916666666666666,0.5042328042328043,KNN
recall,0.46153846153846156,0.6,0.4117647058823529,0.4444444444444444,0.47619047619047616,0.47943690296631475,0.47619047619047616,KNN
f1-score,0.3870967741935484,0.5454545454545454,0.43749999999999994,0.5333333333333333,0.47619047619047616,0.4758461632453568,0.48018374994181445,KNN
support,13.0,15.0,17.0,18.0,0.47619047619047616,63.0,63.0,KNN
precision,0.4782608695652174,0.5625,0.625,0.75,0.5714285714285714,0.6039402173913043,0.6155538302277433,SVC
recall,0.8461538461538461,0.6,0.5882352941176471,0.3333333333333333,0.5714285714285714,0.5919306184012066,0.5714285714285714,SVC
f1-score,0.6111111111111112,0.5806451612903225,0.6060606060606061,0.46153846153846156,0.5714285714285714,0.5648388350001253,0.5597594361035221,SVC
support,13.0,15.0,17.0,18.0,0.5714285714285714,63.0,63.0,SVC
precision,0.2,0.0,0.0,0.7222222222222222,0.3492063492063492,0.23055555555555557,0.2476190476190476,GPC
recall,0.6923076923076923,0.0,0.0,0.7222222222222222,0.3492063492063492,0.3536324786324786,0.3492063492063492,GPC
f1-score,0.31034482758620696,0.0,0.0,0.7222222222222222,0.3492063492063492,0.2581417624521073,0.27038861521620144,GPC
support,13.0,15.0,17.0,18.0,0.3492063492063492,63.0,63.0,GPC
precision,0.391304347826087,0.6428571428571429,0.5294117647058824,0.6666666666666666,0.5238095238095238,0.5575599805139447,0.5671398994380362,DTC
recall,0.6923076923076923,0.6,0.5294117647058824,0.3333333333333333,0.5238095238095238,0.538763197586727,0.5238095238095238,DTC
f1-score,0.5,0.6206896551724138,0.5294117647058824,0.4444444444444444,0.5238095238095238,0.5236364660806851,0.5207991242474,DTC
support,13.0,15.0,17.0,18.0,0.5238095238095238,63.0,63.0,DTC
precision,0.5,0.7142857142857143,0.6842105263157895,0.7,0.6349206349206349,0.649624060150376,0.6578708676453037,MLP
recall,0.7692307692307693,0.6666666666666666,0.7647058823529411,0.3888888888888889,0.6349206349206349,0.6473730517848165,0.6349206349206349,MLP
f1-score,0.6060606060606061,0.689655172413793,0.7222222222222222,0.5,0.6349206349206349,0.6294845001741554,0.6270062419487706,MLP
support,13.0,15.0,17.0,18.0,0.6349206349206349,63.0,63.0,MLP
precision,0.29411764705882354,0.4,0.2777777777777778,0.75,0.38095238095238093,0.43047385620915035,0.44517066085693535,NB
recall,0.38461538461538464,0.5333333333333333,0.29411764705882354,0.3333333333333333,0.38095238095238093,0.3863499245852187,0.38095238095238093,NB
f1-score,0.33333333333333337,0.4571428571428572,0.28571428571428575,0.46153846153846156,0.38095238095238093,0.3844322344322345,0.3865922437351009,NB
support,13.0,15.0,17.0,18.0,0.38095238095238093,63.0,63.0,NB
precision,0.2857142857142857,0.5,0.4,0.75,0.42857142857142855,0.48392857142857143,0.5002267573696145,QDA
recall,0.46153846153846156,0.4666666666666667,0.47058823529411764,0.3333333333333333,0.42857142857142855,0.43303167420814476,0.42857142857142855,QDA
f1-score,0.35294117647058826,0.4827586206896552,0.4324324324324324,0.46153846153846156,0.42857142857142855,0.4324176727827843,0.43632790894454176,QDA
support,13.0,15.0,17.0,18.0,0.42857142857142855,63.0,63.0,QDA
