,0,1,2,3,accuracy,macro avg,weighted avg,name
precision,0.5,0.5,0.2857142857142857,0.75,0.52,0.5089285714285714,0.5185714285714286,AdaBoost
recall,0.3076923076923077,0.5454545454545454,0.3333333333333333,0.8571428571428571,0.52,0.5109057609057609,0.52,AdaBoost
f1-score,0.380952380952381,0.5217391304347826,0.30769230769230765,0.7999999999999999,0.52,0.5025959547698678,0.5116763815894251,AdaBoost
support,13.0,11.0,12.0,14.0,0.52,50.0,50.0,AdaBoost
precision,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.7647058823529411,0.62,0.607843137254902,0.6157843137254901,RFC
recall,0.46153846153846156,0.6363636363636364,0.4166666666666667,0.9285714285714286,0.62,0.6107850482850483,0.62,RFC
f1-score,0.5454545454545455,0.6086956521739131,0.4166666666666667,0.8387096774193549,0.62,0.60238163542862,0.6105699349738621,RFC
support,13.0,11.0,12.0,14.0,0.62,50.0,50.0,RFC
precision,0.5384615384615384,0.45454545454545453,0.5454545454545454,0.7333333333333333,0.58,0.5679487179487179,0.5762424242424242,KNN
recall,0.5384615384615384,0.45454545454545453,0.5,0.7857142857142857,0.58,0.5696803196803196,0.58,KNN
f1-score,0.5384615384615384,0.45454545454545453,0.5217391304347826,0.7586206896551724,0.58,0.568341703274237,0.577631184407796,KNN
support,13.0,11.0,12.0,14.0,0.58,50.0,50.0,KNN
precision,0.8,0.3333333333333333,0.18181818181818182,0.7647058823529411,0.54,0.5199643493761141,0.5390873440285204,SVC
recall,0.6153846153846154,0.36363636363636365,0.16666666666666666,0.9285714285714286,0.54,0.5185647685647685,0.54,SVC
f1-score,0.6956521739130435,0.34782608695652173,0.17391304347826086,0.8387096774193549,0.54,0.5140252454417953,0.5339691444600281,SVC
support,13.0,11.0,12.0,14.0,0.54,50.0,50.0,SVC
precision,0.6666666666666666,0.4,0.14285714285714285,0.6842105263157895,0.52,0.47343358395989976,0.4871979949874687,GPC
recall,0.46153846153846156,0.5454545454545454,0.08333333333333333,0.9285714285714286,0.52,0.5047244422244422,0.52,GPC
f1-score,0.5454545454545455,0.4615384615384615,0.10526315789473685,0.7878787878787878,0.52,0.47503373819163297,0.4892258618574408,GPC
support,13.0,11.0,12.0,14.0,0.52,50.0,50.0,GPC
precision,0.6153846153846154,0.5625,0.42857142857142855,0.8571428571428571,0.64,0.6158997252747253,0.6266071428571428,DTC
recall,0.6153846153846154,0.8181818181818182,0.25,0.8571428571428571,0.64,0.6351773226773227,0.64,DTC
f1-score,0.6153846153846154,0.6666666666666666,0.3157894736842105,0.8571428571428571,0.64,0.6137459032195874,0.6224561403508772,DTC
support,13.0,11.0,12.0,14.0,0.64,50.0,50.0,DTC
precision,0.75,0.45454545454545453,0.42857142857142855,0.7647058823529411,0.6,0.599455691367456,0.6119747899159664,MLP
recall,0.46153846153846156,0.45454545454545453,0.5,0.9285714285714286,0.6,0.5861638361638362,0.6,MLP
f1-score,0.5714285714285714,0.45454545454545453,0.4615384615384615,0.8387096774193549,0.6,0.5815555412329606,0.5941793690180787,MLP
support,13.0,11.0,12.0,14.0,0.6,50.0,50.0,MLP
precision,0.3333333333333333,0.25,0.5,0.7777777777777778,0.42,0.4652777777777778,0.47944444444444445,NB
recall,0.8461538461538461,0.09090909090909091,0.16666666666666666,0.5,0.42,0.40093240093240096,0.42,NB
f1-score,0.47826086956521735,0.13333333333333333,0.25,0.6086956521739131,0.42,0.3675724637681159,0.3841159420289856,NB
support,13.0,11.0,12.0,14.0,0.42,50.0,50.0,NB
precision,0.23684210526315788,0.0,0.3333333333333333,0.5,0.28,0.2675438596491228,0.28157894736842104,QDA
recall,0.6923076923076923,0.0,0.16666666666666666,0.21428571428571427,0.28,0.2683150183150183,0.28,QDA
f1-score,0.35294117647058826,0.0,0.2222222222222222,0.3,0.28,0.21879084967320261,0.2290980392156863,QDA
support,13.0,11.0,12.0,14.0,0.28,50.0,50.0,QDA
