,0,1,2,3,accuracy,macro avg,weighted avg,name
precision,0.3333333333333333,0.3333333333333333,0.391304347826087,0.9,0.4444444444444444,0.48949275362318845,0.5108810674028065,AdaBoost
recall,0.6923076923076923,0.06666666666666667,0.5294117647058824,0.5,0.4444444444444444,0.4470965309200603,0.4444444444444444,AdaBoost
f1-score,0.45,0.1111111111111111,0.45,0.6428571428571429,0.4444444444444444,0.41349206349206347,0.4244142101284959,AdaBoost
support,13.0,15.0,17.0,18.0,0.4444444444444444,63.0,63.0,AdaBoost
precision,0.5,0.6,0.5,0.875,0.5714285714285714,0.61875,0.6309523809523809,RFC
recall,0.7692307692307693,0.6,0.5882352941176471,0.3888888888888889,0.5714285714285714,0.5865887380593263,0.5714285714285714,RFC
f1-score,0.6060606060606061,0.6,0.5405405405405405,0.5384615384615385,0.5714285714285714,0.5712656712656712,0.5676235676235677,RFC
support,13.0,15.0,17.0,18.0,0.5714285714285714,63.0,63.0,RFC
precision,0.2857142857142857,0.45454545454545453,0.3333333333333333,0.0,0.31746031746031744,0.26839826839826836,0.25712911427197144,KNN
recall,0.7692307692307693,0.3333333333333333,0.29411764705882354,0.0,0.31746031746031744,0.34917043740573156,0.31746031746031744,KNN
f1-score,0.41666666666666663,0.3846153846153846,0.3125,0.0,0.31746031746031744,0.2784455128205128,0.2618793243793244,KNN
support,13.0,15.0,17.0,18.0,0.31746031746031744,63.0,63.0,KNN
precision,0.2413793103448276,0.3333333333333333,0.45454545454545453,0.6,0.3333333333333333,0.4073145245559039,0.4232572025675474,SVC
recall,0.5384615384615384,0.4,0.29411764705882354,0.16666666666666666,0.3333333333333333,0.3498114630467572,0.3333333333333333,SVC
f1-score,0.3333333333333333,0.3636363636363636,0.35714285714285715,0.2608695652173913,0.3333333333333333,0.32874552983248634,0.3262691989400064,SVC
support,13.0,15.0,17.0,18.0,0.3333333333333333,63.0,63.0,SVC
precision,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.08163265306122448,GPC
recall,0.0,0.0,0.0,1.0,0.2857142857142857,0.25,0.2857142857142857,GPC
f1-score,0.0,0.0,0.0,0.4444444444444445,0.2857142857142857,0.11111111111111112,0.12698412698412698,GPC
support,13.0,15.0,17.0,18.0,0.2857142857142857,63.0,63.0,GPC
precision,0.29411764705882354,0.5,0.4444444444444444,0.7142857142857143,0.47619047619047616,0.4882119514472456,0.5037496480073511,DTC
recall,0.38461538461538464,0.4666666666666667,0.47058823529411764,0.5555555555555556,0.47619047619047616,0.4693564605329312,0.47619047619047616,DTC
f1-score,0.33333333333333337,0.4827586206896552,0.45714285714285713,0.6250000000000001,0.47619047619047616,0.4745587027914614,0.48565303516042435,DTC
support,13.0,15.0,17.0,18.0,0.47619047619047616,63.0,63.0,DTC
precision,0.2857142857142857,0.17647058823529413,0.23529411764705882,0.5,0.2698412698412698,0.29936974789915966,0.3073229291716687,MLP
recall,0.46153846153846156,0.2,0.23529411764705882,0.2222222222222222,0.2698412698412698,0.27976370035193565,0.2698412698412698,MLP
f1-score,0.35294117647058826,0.18750000000000003,0.23529411764705882,0.30769230769230765,0.2698412698412698,0.2708569004524887,0.2688761401996696,MLP
support,13.0,15.0,17.0,18.0,0.2698412698412698,63.0,63.0,MLP
precision,0.25,0.36,0.42857142857142855,0.45454545454545453,0.3492063492063492,0.37327922077922077,0.38281797567511844,NB
recall,0.38461538461538464,0.6,0.17647058823529413,0.2777777777777778,0.3492063492063492,0.3597159376571142,0.3492063492063492,NB
f1-score,0.30303030303030304,0.45,0.25,0.3448275862068966,0.3492063492063492,0.3369644723092999,0.3356554046209219,NB
support,13.0,15.0,17.0,18.0,0.3492063492063492,63.0,63.0,NB
precision,0.2,0.26666666666666666,0.19047619047619047,0.2857142857142857,0.2222222222222222,0.2357142857142857,0.2377928949357521,QDA
recall,0.3076923076923077,0.26666666666666666,0.23529411764705882,0.1111111111111111,0.2222222222222222,0.2301910507792861,0.2222222222222222,QDA
f1-score,0.24242424242424246,0.26666666666666666,0.21052631578947367,0.16,0.2222222222222222,0.2199043062200957,0.21603908761803498,QDA
support,13.0,15.0,17.0,18.0,0.2222222222222222,63.0,63.0,QDA
