,0,1,2,3,accuracy,macro avg,weighted avg,name
precision,0.6,0.5,0.25,0.8235294117647058,0.6,0.5433823529411765,0.5565882352941176,AdaBoost
recall,0.6923076923076923,0.45454545454545453,0.16666666666666666,1.0,0.6,0.5783799533799534,0.6,AdaBoost
f1-score,0.6428571428571429,0.47619047619047616,0.2,0.9032258064516129,0.6,0.555568356374808,0.5728079877112136,AdaBoost
support,13.0,11.0,12.0,14.0,0.6,50.0,50.0,AdaBoost
precision,0.5384615384615384,0.5714285714285714,0.3076923076923077,0.7647058823529411,0.56,0.5455720749838397,0.553678086619263,RFC
recall,0.5384615384615384,0.36363636363636365,0.3333333333333333,0.9285714285714286,0.56,0.541000666000666,0.56,RFC
f1-score,0.5384615384615384,0.4444444444444444,0.32,0.8387096774193549,0.56,0.5354039150813344,0.5494164874551971,RFC
support,13.0,11.0,12.0,14.0,0.56,50.0,50.0,RFC
precision,0.25,0.45454545454545453,0.16666666666666666,0.6470588235294118,0.42,0.37956773618538325,0.3861764705882353,KNN
recall,0.3076923076923077,0.45454545454545453,0.08333333333333333,0.7857142857142857,0.42,0.40782134532134534,0.42,KNN
f1-score,0.27586206896551724,0.45454545454545453,0.1111111111111111,0.7096774193548386,0.42,0.3877990134942304,0.39710048201705594,KNN
support,13.0,11.0,12.0,14.0,0.42,50.0,50.0,KNN
precision,0.2564102564102564,0.2857142857142857,0.0,0.0,0.24,0.13553113553113552,0.1295238095238095,SVC
recall,0.7692307692307693,0.18181818181818182,0.0,0.0,0.24,0.23776223776223776,0.24,SVC
f1-score,0.38461538461538464,0.2222222222222222,0.0,0.0,0.24,0.15170940170940173,0.1488888888888889,SVC
support,13.0,11.0,12.0,14.0,0.24,50.0,50.0,SVC
precision,0.0,0.0,0.0,0.28,0.28,0.07,0.07840000000000001,GPC
recall,0.0,0.0,0.0,1.0,0.28,0.25,0.28,GPC
f1-score,0.0,0.0,0.0,0.43750000000000006,0.28,0.10937500000000001,0.12250000000000001,GPC
support,13.0,11.0,12.0,14.0,0.28,50.0,50.0,GPC
precision,0.6666666666666666,0.5882352941176471,0.2857142857142857,0.8571428571428571,0.64,0.5994397759103641,0.6113165266106442,DTC
recall,0.6153846153846154,0.9090909090909091,0.16666666666666666,0.8571428571428571,0.64,0.6370712620712621,0.64,DTC
f1-score,0.64,0.7142857142857143,0.2105263157894737,0.8571428571428571,0.64,0.6054887218045113,0.6140691729323309,DTC
support,13.0,11.0,12.0,14.0,0.64,50.0,50.0,DTC
precision,0.375,0.0,0.3,0.3333333333333333,0.32,0.2520833333333333,0.2628333333333333,MLP
recall,0.23076923076923078,0.0,0.25,0.7142857142857143,0.32,0.29876373626373626,0.32,MLP
f1-score,0.2857142857142857,0.0,0.2727272727272727,0.4545454545454545,0.32,0.2532467532467532,0.267012987012987,MLP
support,13.0,11.0,12.0,14.0,0.32,50.0,50.0,MLP
precision,0.2619047619047619,0.25,0.0,1.0,0.3,0.37797619047619047,0.4030952380952381,NB
recall,0.8461538461538461,0.09090909090909091,0.0,0.21428571428571427,0.3,0.2878371628371628,0.3,NB
f1-score,0.4,0.13333333333333333,0.0,0.35294117647058826,0.3,0.22156862745098038,0.23215686274509806,NB
support,13.0,11.0,12.0,14.0,0.3,50.0,50.0,NB
precision,0.0,0.22448979591836735,0.0,0.0,0.22,0.05612244897959184,0.04938775510204081,QDA
recall,0.0,1.0,0.0,0.0,0.22,0.25,0.22,QDA
f1-score,0.0,0.36666666666666664,0.0,0.0,0.22,0.09166666666666666,0.08066666666666666,QDA
support,13.0,11.0,12.0,14.0,0.22,50.0,50.0,QDA
